int_no,rank
787,1150
1174,1151
1542,1152
1433,1153
9139,1154
1387,1155
1453,1156
426,1157
1311,1158
532,1159
551,1160
821,1161
1656,1162
522,1163
1259,1164
1669,1165
1686,1166
272,1167
254,1168
9461,1169
11478,1170
630,1171
1467,1172
82,1173
13300,1174
906,1175
122,1176
1060,1177
1722,1178
327,1179
1420,1180
1563,1181
832,1182
1299,1183
577,1184
9019,1185
1511,1186
8335,1187
318,1188
1309,1189
592,1190
637,1191
571,1192
605,1193
1142,1194
94,1195
663,1196
12651,1197
9151,1198
69,1199
5371,1200
404,1201
9014,1202
552,1203
1491,1204
1315,1205
1611,1206
1415,1207
1169,1208
1494,1209
1243,1210
438,1211
1412,1212
176,1213
60,1214
16984,1215
126,1216
469,1217
395,1218
8847,1219
1539,1220
1113,1221
278,1222
13828,1223
911,1224
1225,1225
9831,1226
159,1227
480,1228
16730,1229
324,1230
1125,1231
490,1232
567,1233
1693,1234
1021,1235
1325,1236
1631,1237
1545,1238
1698,1239
1647,1240
13279,1241
322,1242
9824,1243
16919,1244
68,1245
1655,1246
879,1247
1535,1248
1126,1249
17290,1250
275,1251
1339,1252
1025,1253
1205,1254
1634,1255
1489,1256
1442,1257
1112,1258
463,1259
57,1260
6414,1261
866,1262
1256,1263
16803,1264
1014,1265
15139,1266
1762,1267
431,1268
16911,1269
102,1270
1220,1271
455,1272
707,1273
7207,1274
1526,1275
8853,1276
309,1277
138,1278
1472,1279
1215,1280
457,1281
3060,1282
1507,1283
1158,1284
1331,1285
16,1286
607,1287
7084,1288
173,1289
1636,1290
1328,1291
1380,1292
1369,1293
453,1294
992,1295
1081,1296
1114,1297
16045,1298
1755,1299
511,1300
1717,1301
96,1302
1076,1303
451,1304
1354,1305
622,1306
6940,1307
197,1308
1084,1309
7148,1310
1265,1311
1459,1312
878,1313
1536,1314
1291,1315
1615,1316
319,1317
1605,1318
3046,1319
208,1320
8777,1321
1290,1322
922,1323
1531,1324
7145,1325
205,1326
15531,1327
1274,1328
1285,1329
830,1330
1444,1331
837,1332
9141,1333
1723,1334
691,1335
1618,1336
191,1337
12301,1338
530,1339
1384,1340
17462,1341
16193,1342
250,1343
73,1344
314,1345
16663,1346
1393,1347
1238,1348
627,1349
560,1350
1019,1351
854,1352
1308,1353
813,1354
8204,1355
958,1356
679,1357
621,1358
1236,1359
834,1360
4510,1361
1495,1362
1941,1363
7826,1364
1799,1365
1498,1366
1059,1367
1253,1368
660,1369
1597,1370
15701,1371
1397,1372
512,1373
97,1374
1240,1375
11164,1376
925,1377
1316,1378
1383,1379
1869,1380
9828,1381
16878,1382
228,1383
1018,1384
564,1385
310,1386
1589,1387
829,1388
1289,1389
804,1390
681,1391
1457,1392
1247,1393
1461,1394
9676,1395
1327,1396
34,1397
217,1398
877,1399
488,1400
565,1401
2179,1402
3527,1403
1321,1404
1700,1405
1464,1406
83,1407
236,1408
1382,1409
1739,1410
9830,1411
8551,1412
241,1413
440,1414
200,1415
566,1416
1793,1417
1275,1418
52,1419
1407,1420
6152,1421
1366,1422
1317,1423
1443,1424
1430,1425
1414,1426
464,1427
1009,1428
1448,1429
1288,1430
277,1431
1478,1432
822,1433
892,1434
1355,1435
430,1436
653,1437
810,1438
670,1439
8755,1440
1333,1441
470,1442
1287,1443
1367,1444
224,1445
49,1446
1602,1447
1518,1448
579,1449
7210,1450
1012,1451
206,1452
1460,1453
1219,1454
826,1455
678,1456
581,1457
1324,1458
244,1459
875,1460
207,1461
3944,1462
452,1463
1436,1464
1490,1465
1771,1466
15747,1467
852,1468
9840,1469
1574,1470
1135,1471
1446,1472
1469,1473
1096,1474
990,1475
694,1476
239,1477
1532,1478
1641,1479
232,1480
233,1481
582,1482
1711,1483
803,1484
4320,1485
257,1486
998,1487
7157,1488
807,1489
1485,1490
10596,1491
88,1492
265,1493
17652,1494
17583,1495
701,1496
828,1497
260,1498
258,1499
1553,1500
1568,1501
715,1502
15384,1503
1741,1504
1681,1505
1054,1506
963,1507
16234,1508
840,1509
1371,1510
1477,1511
1637,1512
1411,1513
7201,1514
1388,1515
993,1516
1551,1517
8674,1518
1751,1519
1638,1520
447,1521
9384,1522
620,1523
9841,1524
1550,1525
619,1526
16238,1527
1649,1528
1226,1529
667,1530
123,1531
13029,1532
1254,1533
1687,1534
16916,1535
12455,1536
995,1537
521,1538
2028,1539
203,1540
8206,1541
851,1542
4714,1543
16704,1544
1537,1545
7200,1546
1332,1547
746,1548
1413,1549
1329,1550
947,1551
1514,1552
1416,1553
686,1554
408,1555
968,1556
449,1557
8832,1558
1742,1559
8692,1560
984,1561
44,1562
1658,1563
994,1564
977,1565
2699,1566
251,1567
1513,1568
979,1569
1235,1570
4387,1571
710,1572
1473,1573
77,1574
950,1575
1319,1576
676,1577
16043,1578
1709,1579
8855,1580
1427,1581
921,1582
1227,1583
768,1584
10045,1585
1277,1586
67,1587
677,1588
767,1589
9684,1590
14105,1591
1330,1592
1318,1593
898,1594
8854,1595
1792,1596
8868,1597
8797,1598
806,1599
9182,1600
270,1601
7198,1602
652,1603
8833,1604
1572,1605
860,1606
17674,1607
3667,1608
1555,1609
757,1610
16732,1611
865,1612
13090,1613
753,1614
1438,1615
78,1616
13290,1617
15927,1618
1336,1619
1157,1620
1571,1621
986,1622
1632,1623
1635,1624
1484,1625
15371,1626
213,1627
666,1628
856,1629
186,1630
170,1631
15738,1632
262,1633
15386,1634
718,1635
8895,1636
568,1637
13298,1638
862,1639
1708,1640
816,1641
688,1642
557,1643
7202,1644
748,1645
574,1646
1273,1647
17675,1648
17593,1649
2021,1650
14384,1651
398,1652
8649,1653
8604,1654
946,1655
1378,1656
1496,1657
1465,1658
1653,1659
721,1660
513,1661
1320,1662
1228,1663
833,1664
195,1665
1271,1666
719,1667
234,1668
973,1669
17058,1670
625,1671
9862,1672
8861,1673
1811,1674
14226,1675
1428,1676
752,1677
940,1678
12456,1679
1716,1680
1399,1681
1263,1682
13805,1683
1648,1684
382,1685
204,1686
1351,1687
8870,1688
1164,1689
1580,1690
1743,1691
201,1692
8872,1693
8871,1694
1447,1695
8732,1696
640,1697
13258,1698
1538,1699
1482,1700
8840,1701
1499,1702
8752,1703
1364,1704
256,1705
7276,1706
4005,1707
909,1708
578,1709
79,1710
769,1711
225,1712
1579,1713
976,1714
1479,1715
1715,1716
9185,1717
13280,1718
1728,1719
1418,1720
6469,1721
1587,1722
1691,1723
824,1724
1252,1725
831,1726
321,1727
1756,1728
1654,1729
761,1730
95,1731
966,1732
971,1733
1417,1734
1668,1735
978,1736
9149,1737
8458,1738
1662,1739
1481,1740
1500,1741
647,1742
37,1743
1401,1744
13076,1745
646,1746
716,1747
9994,1748
263,1749
1740,1750
10738,1751
775,1752
1581,1753
1276,1754
1540,1755
944,1756
63,1757
1334,1758
974,1759
972,1760
1426,1761
1107,1762
8707,1763
763,1764
7733,1765
13322,1766
1666,1767
8893,1768
1543,1769
586,1770
1664,1771
1406,1772
1441,1773
1753,1774
1601,1775
952,1776
280,1777
13671,1778
15920,1779
3757,1780
10027,1781
10450,1782
777,1783
1483,1784
8205,1785
15239,1786
1515,1787
1576,1788
1665,1789
7216,1790
17719,1791
1403,1792
1673,1793
814,1794
1623,1795
970,1796
774,1797
1719,1798
1497,1799
982,1800
1322,1801
1767,1802
1738,1803
12457,1804
9873,1805
1600,1806
1255,1807
1268,1808
129,1809
1732,1810
274,1811
66,1812
954,1813
491,1814
980,1815
792,1816
1221,1817
722,1818
261,1819
17335,1820
1559,1821
8892,1822
723,1823
1661,1824
1735,1825
223,1826
1533,1827
1486,1828
1701,1829
1156,1830
1562,1831
717,1832
89,1833
1646,1834
8896,1835
1373,1836
776,1837
16092,1838
6510,1839
196,1840
1517,1841
1667,1842
1733,1843
1216,1844
40,1845
1670,1846
4479,1847
8553,1848
967,1849
75,1850
1410,1851
15372,1852
1768,1853
15238,1854
981,1855
1534,1856
1682,1857
1548,1858
12625,1859
1680,1860
13295,1861
1480,1862
962,1863
1556,1864
